CAPA Owner,CAPA Number,T2 Linked Source,T7 CAPA Reference,Date Opened,Overall Due,H_Extension Request Counter,Title,Vault,Product Involved?,Site List,T2 Event Location or Site,Product Line,APi #1,Lot #1,APi #2,Lot #2,APi #3,Lot #3,Department,Step Name,Step Due Date,Related to Deviation?,Customer Notification (CA),Customer Notification (PA)
,CAPA26041601,,,04/16/2024,8/16/2024 4:29:17 AM,0.0,,CAPA Forms Open,,,,,,,,,,,,Quality Board Review,05/06/2024,,,
user75,CAPA26051601,,,05/16/2024,9/15/2024 8:56:45 PM,1.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Quality Board Review,07/31/2026,,,
user93,CAPA26070801,DEV260245,,07/08/2024,11/7/2024 6:44:36 AM,1.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,Inventory,Cause Analysis,09/29/2025,3RYVZIVXZ5AZ7H5ZL4,,
user78,CAPA26082201,DEV260244,,08/22/2024,12/22/2024 6:36:27 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Quality Board Review,12/30/2025,XZ2M34SFRZHX3OJOSN,,
user73,CAPA26082901,,,08/29/2024,12/29/2024 4:07:59 PM,2.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Action Plan Review,10/31/2025,,,
user12,CAPA26090201,DEV261227,,09/02/2024,1/2/2025 7:12:04 AM,1.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,Production,Action Plan Review,11/14/2025,2VO6UVR5DBFDBCTFU7,,
user84,CAPA26091101,,,09/11/2024,1/11/2025 5:03:37 PM,1.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Cause Analysis,04/24/2026,,,
user82,CAPA26092101,DEV260743,,09/21/2024,1/21/2025 7:54:40 AM,1.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,Inventory,Verification Review,12/30/2025,TMU567E3MRGBVHP3B4,,
user90,CAPA26092601,DEV261028,,09/26/2024,1/26/2025 5:04:34 AM,2.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,Production,Execution Tracking,12/17/2024,,,
user86,CAPA26100801,DEV260496,,10/08/2024,2/7/2025 10:53:12 AM,1.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Execution Tracking,01/25/2026,UPNQUGOCK5AGRMX7JX,,
user47,CAPA26101501,DEV260672,,10/15/2024,2/14/2025 7:17:08 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Laboratory Services,Execution Tracking,04/22/2026,NSDOELVAGBAKLOAPBQ,,
user23,CAPA26110601,DEV260582,,11/06/2024,3/8/2025 4:48:58 AM,1.0,风险控制跟进行动,CAPA Forms Open,Yes,,China,Commercial/Generic,A3057,260207-8790,,,,,Engineering,Execution Tracking,01/25/2026,NJ3LIGHKCBHSVLM6UE,,
user25,CAPA26110701,DEV260857,,11/07/2024,3/9/2025 3:43:55 PM,3.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Cause Analysis,01/01/2026,,,
user37,CAPA26121101,,,12/11/2024,4/12/2025 1:38:10 PM,0.0,Quality System Enhancement,CAPA Forms Open,Yes,,USA,Commercial/Generic,A9664,260110-2853,,,,,Laboratory Services,Execution Tracking,06/24/2025,,,
user07,CAPA26121501,,,12/15/2024,4/16/2025 8:53:45 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,Production,Verification Review,01/25/2026,,,
user76,CAPA26121601,DEV261126,,12/16/2024,4/17/2025 12:23:11 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Verification Review,12/30/2025,,,
user81,CAPA26121602,DEV260233,,12/16/2024,4/17/2025 1:59:30 PM,3.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Quality Board Review,07/30/2026,,,
user72,CAPA26123101,DEV260242,,12/31/2024,5/2/2025 1:24:35 PM,4.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Cause Analysis,12/31/2026,,,
user11,CAPA26011001,DEV260331,,01/10/2025,5/12/2025 1:06:54 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,Yes,,China,Commercial/Generic,A7196,261026-7329,,,,,工程管理组,Quality Board Review,04/29/2026,ZU6GNWGNTNF4ROJCWK,,
user59,CAPA26020501,,,02/05/2025,6/7/2025 3:12:34 PM,2.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Execution Tracking,12/18/2026,,Accepts the CA,
user44,CAPA26022101,DEV260626,,02/21/2025,6/23/2025 5:15:52 AM,2.0,培训管理优化方案,CAPA Forms Open,Yes,,China,Commercial/Generic,A1088,261208-7464,,,,,Production,Action Plan Review,07/18/2026,M2KGUZEGEBBJBKKBNW,,
user42,CAPA26022701,DEV260657,,02/27/2025,6/29/2025 9:07:59 AM,1.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,Production,Cause Analysis,03/29/2026,JMQMRDCIKZDIHBQ4JC,,
user93,CAPA26030401,,,03/04/2025,7/4/2025 6:52:46 AM,4.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Cause Analysis,04/29/2027,,Accepts the CA,Accepts the PA
user46,CAPA26030601,,,03/06/2025,7/6/2025 1:13:07 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Verification Review,02/27/2026,,,
user88,CAPA26030701,DEV260783,,03/07/2025,7/7/2025 4:09:21 AM,1.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,Inventory,Quality Board Review,05/29/2026,KRJQFOX4F5COLBM6BD,,
user74,CAPA26032401,,,03/24/2025,7/24/2025 7:26:18 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,07/05/2025,,,
user08,CAPA26032402,DEV260212,,03/24/2025,7/24/2025 8:28:13 AM,1.0,风险控制跟进行动,CAPA Forms Open,No,,,,,,,,,,原料检测组,Quality Board Review,12/30/2026,,,
user92,CAPA26032502,DEV260838,,03/25/2025,7/25/2025 2:37:13 PM,2.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Cause Analysis,06/05/2026,,,
user05,CAPA26040701,,,04/07/2025,8/7/2025 12:51:27 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Production,Action Plan Review,01/03/2026,,,
user81,CAPA26042301,DEV260460,,04/23/2025,8/23/2025 2:01:13 PM,4.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Cause Analysis,05/29/2026,,,
user23,CAPA26042801,DEV260414,,04/28/2025,8/28/2025 4:12:09 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,NCE,A8088,260824-6615,,,,,原料检测组,Quality Board Review,06/04/2026,RASXLJGNXFCMPMDQHP,,
user53,CAPA26042902,,,04/29/2025,8/29/2025 6:21:06 AM,1.0,风险控制跟进行动,CAPA Forms Open,Yes,,China,Commercial/Generic,A9294,260718-1648,,,,,生产支持组,Execution Tracking,08/09/2026,,,
user89,CAPA26050101,DEV260323,,05/01/2025,8/31/2025 4:01:10 PM,2.0,Inventory Control Improvement,CAPA Forms Open,Yes,,USA,NCE,A4547,260320-2941,,,,,Quality Systems,Verification Review,07/31/2026,,,
user69,CAPA26051501,DEV261005,,05/15/2025,9/14/2025 1:35:48 AM,0.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Execution Tracking,07/04/2025,,,
user88,CAPA26052601,DEV260883,,05/26/2025,9/25/2025 4:15:11 AM,1.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,07/30/2026,62YTM5OKRVCPJFVYQ4,,
user76,CAPA26053001,,,05/30/2025,9/29/2025 4:23:54 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Verification Review,07/18/2025,,,
user63,CAPA26060901,DEV260401,,06/09/2025,10/9/2025 7:11:31 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Verification Review,08/09/2025,,,
user77,CAPA26061101,,,06/11/2025,10/11/2025 8:09:26 AM,0.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Action Plan Review,09/04/2025,,,
user59,CAPA26061201,DEV260155,,06/12/2025,10/12/2025 6:42:23 AM,0.0,风险控制跟进行动,CAPA Forms Open,Yes,,China,NCE,A4536,260302-1927,,,,,原料检测组,Cause Analysis,10/26/2025,XSNVW4Z7HRBZ7MBR2R,,
user38,CAPA26061301,DEV260794,,06/13/2025,10/13/2025 6:05:04 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Execution Tracking,11/22/2025,4ZOU3VI7JNCVNBQ4GZ,,
user44,CAPA26061302,DEV260155,,06/13/2025,10/13/2025 7:23:41 AM,1.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,02/04/2026,XDBATFOTUVHS3LCEXL,,
user82,CAPA26061801,DEV261139,,06/18/2025,10/18/2025 1:25:06 AM,1.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Cause Analysis,09/29/2026,H5P22VHZNVC7HOBXNU,,
user89,CAPA26062301,DEV260431,,06/23/2025,10/23/2025 4:17:36 AM,0.0,Inventory Control Improvement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,07/31/2025,4G7IY5GEW5FYTGTVH7,,
,CAPA26062302,DEV260576,,06/23/2025,10/23/2025 6:50:34 AM,0.0,,CAPA Forms Open,No,,,,,,,,,,,Execution Tracking,07/13/2025,,,
user23,CAPA26062701,,,06/27/2025,10/27/2025 6:40:45 PM,1.0,Inventory Control Improvement,CAPA Forms Open,Yes,,USA,Commercial/Generic,A3829,260114-6716,API1222,250110,,,Production,Cause Analysis,04/24/2026,,,
user89,CAPA26062702,,,06/27/2025,10/27/2025 6:53:35 PM,1.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,USA,Commercial/Generic,A6575,260422-9907,API1222,240619C,,,Engineering,Cause Analysis,06/17/2026,,,
user78,CAPA26070802,,,07/08/2025,11/7/2025 6:22:33 PM,2.0,Equipment Lifecycle Assessment,CAPA Forms Open,Yes,,USA,Commercial/Generic,A1626,260304-1935,,,,,Laboratory Services,Cause Analysis,08/13/2026,,,
user20,CAPA26071101,DEV260102,,07/11/2025,11/10/2025 12:42:57 AM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Execution Tracking,02/05/2026,Q5NIG4P33RGHLBQHCO,,
user60,CAPA26072201,DEV260707,,07/22/2025,11/21/2025 8:07:50 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Action Plan Review,09/24/2025,252LXGTMFVB65N2RBM,,
user98,CAPA26072901,DEV260606,,07/29/2025,11/28/2025 7:31:28 AM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Execution Tracking,02/13/2026,FEJONVEUCJBTPAQ5IO,,
user36,CAPA26073001,,,07/30/2025,11/29/2025 6:18:07 PM,5.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Production,Verification Review,09/13/2026,,,
user75,CAPA26080401,DEV260730,,08/04/2025,12/4/2025 12:21:56 AM,2.0,质量体系提升行动,CAPA Forms Open,Yes,,China,Commercial/Generic,A1386,260709-2863,,,,,生产支持组,Quality Board Review,10/20/2026,RY3NUHS7TBFGJN4WVF,Accepts the CA,Accepts the PA
user27,CAPA26080601,DEV260881,,08/06/2025,12/6/2025 7:48:29 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Cause Analysis,09/18/2025,6U6VTRUC5JDM3NQADQ,Accepts the CA,Accepts the PA
user17,CAPA26081101,DEV260906,,08/11/2025,12/11/2025 9:32:01 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Laboratory Services,Verification Review,12/13/2025,E5GXJWR7X5FUFLJO4S,,
user65,CAPA26081102,DEV260588,,08/11/2025,12/11/2025 9:51:56 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,Inventory,Execution Tracking,12/13/2025,DBQH7BD26BEJ3ERKT7,,
user94,CAPA26082202,DEV260113,,08/22/2025,12/22/2025 2:05:06 AM,0.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Verification Review,02/13/2026,EVJUFOZRANCNLBERHS,,
user75,CAPA26082203,DEV260394,,08/22/2025,12/22/2025 7:20:15 AM,2.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Commercial/Generic,A2914,260122-5161,,,,,工程管理组,Cause Analysis,08/30/2026,6AX5XRUGUJGFDDEU7S,,
user27,CAPA26082601,,,08/26/2025,12/26/2025 2:48:41 PM,4.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Action Plan Review,07/17/2026,,,
user87,CAPA26090501,,,09/05/2025,1/5/2026 1:49:45 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,Yes,,China,Intermediate,A8540,261023-6320,,,,,工程管理组,Verification Review,08/14/2026,,Accepts the CA,
user11,CAPA26090801,DEV260915,,09/08/2025,1/8/2026 6:27:12 AM,0.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Quality Board Review,10/15/2025,,,
user44,CAPA26090901,DEV260953,,09/09/2025,1/9/2026 5:45:39 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,NCE,A6184,260827-6674,,,,,成品检测组,Quality Board Review,02/13/2026,IQS4MW6AMZCC5H4ZAU,,
,CAPA26091001,,,09/10/2025,1/10/2026 8:35:08 AM,0.0,,CAPA Forms Open,,,,,,,,,,,,Action Plan Review,09/30/2025,,,
,CAPA26091002,DEV260567,,09/10/2025,1/10/2026 9:47:17 AM,1.0,,CAPA Forms Open,,,,,,,,,,,,Quality Board Review,09/30/2025,,,
,CAPA26091003,,,09/10/2025,1/10/2026 10:11:22 AM,0.0,Training Effectiveness Review,CAPA Forms Open,,,,,,,,,,,,Quality Board Review,09/30/2025,,,
user13,CAPA26091004,,,09/10/2025,1/10/2026 10:20:50 AM,0.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Cause Analysis,11/30/2025,,,
user82,CAPA26091601,DEV260329,,09/16/2025,1/16/2026 8:51:29 AM,0.0,生产流程改进项目,CAPA Forms Open,No,,China,,,,,,,,Engineering,Cause Analysis,11/15/2025,KGLBDCTAEFB3HJV7X4,,
user68,CAPA26091701,,,09/17/2025,1/17/2026 1:33:58 AM,1.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Verification Review,04/12/2026,,,
user54,CAPA26091801,,,09/18/2025,1/18/2026 2:17:56 PM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Infrastructure,Verification Review,01/24/2026,,,
user88,CAPA26091802,,,09/18/2025,1/18/2026 2:22:01 PM,1.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Production,Execution Tracking,11/30/2026,,Accepts the CA,
user84,CAPA26091803,,,09/18/2025,1/18/2026 2:30:06 PM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Production,Cause Analysis,10/30/2026,,,
user23,CAPA26092301,DEV261145,,09/23/2025,1/23/2026 5:14:24 AM,1.0,文件记录审核改善,CAPA Forms Open,Yes,,China,Commercial/Generic,A7765,260511-5842,,,,,原料检测组,Action Plan Review,10/30/2026,SJBFGBRUVZHE3NNUVM,Accepts the CA,Accepts the PA
user08,CAPA26092501,,,09/25/2025,1/25/2026 2:49:27 PM,2.0,Inventory Control Improvement,CAPA Forms Open,No,,USA,,,,,,,,Quality Systems,Cause Analysis,12/31/2026,,,
user43,CAPA26093001,DEV260955,,09/30/2025,1/30/2026 12:53:46 AM,0.0,Inventory Control Improvement,CAPA Forms Open,Yes,,China,Commercial/Generic,A5378,260216-2365,,,,,原料检测组,Quality Board Review,03/26/2026,,Accepts the CA,Accepts the PA
user64,CAPA26093002,DEV260691,,09/30/2025,1/30/2026 1:57:51 AM,0.0,设备维护优化计划,CAPA Forms Open,Yes,,China,Commercial/Generic,A5249,260601-8710,,,,,成品检测组,Action Plan Review,03/26/2026,ODKISIMR5RDF5PIWPW,Accepts the CA,Accepts the PA
user39,CAPA26101001,DEV260276,,10/10/2025,2/9/2026 5:30:13 AM,2.0,培训管理优化方案,CAPA Forms Open,Yes,,China,Commercial/Generic,A2165,260708-2201,,,,,成品检测组,Action Plan Review,09/23/2026,,Accepts the CA,
user29,CAPA26101502,DEV260444,,10/15/2025,2/14/2026 5:26:42 PM,2.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Production,Verification Review,10/31/2026,7E7IGIVVNNB6PPNNTT,,
user02,CAPA26101701,,,10/17/2025,2/16/2026 1:53:16 PM,0.0,培训管理优化方案,CAPA Forms Open,No,,China,,,,,,,,Quality Systems,Execution Tracking,12/12/2025,,,
user51,CAPA26103001,DEV260232,,10/30/2025,3/1/2026 1:51:53 AM,0.0,Process Documentation Review,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Verification Review,01/16/2026,5FKLR3K6SFA3NDONGW,Accepts the CA,
user37,CAPA26103002,DEV260286,,10/30/2025,3/1/2026 2:24:40 AM,0.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Crude,A8746,261021-1964,,,,,工程管理组,Cause Analysis,12/18/2025,SDEXXL55W5ABZDY6KX,Does Not Accept the CA,
user38,CAPA26110401,,,11/04/2025,3/6/2026 2:03:11 AM,1.0,生产流程改进项目,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Action Plan Review,07/10/2026,,,
user81,CAPA26110702,DEV260206,,11/07/2025,3/9/2026 3:51:35 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,Inventory,Action Plan Review,03/12/2026,R3YRAQHPDJEZRNZOR4,,
user62,CAPA26110703,DEV261162,,11/07/2025,3/9/2026 4:15:09 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,China,,,,,,,,Production,Execution Tracking,03/12/2026,OMWXCIY3SRHL5HP5QR,,
user82,CAPA26111001,DEV261159,,11/10/2025,3/12/2026 2:27:18 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Execution Tracking,01/09/2026,,Accepts the CA,
user26,CAPA26111002,DEV260832,,11/10/2025,3/12/2026 6:35:54 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Commercial/Generic,A8823,260901-8480,,,,,成品检测组,Execution Tracking,01/10/2026,WFUMUVQLVBH45GPFBT,Accepts the CA,
user96,CAPA26111003,,,11/10/2025,3/12/2026 7:30:56 PM,1.0,Quality System Enhancement,CAPA Forms Open,No,,USA,,,,,,,,Engineering,Quality Board Review,08/31/2026,,,
user76,CAPA26111301,,,11/13/2025,3/15/2026 4:07:30 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Execution Tracking,01/13/2026,,,
user36,CAPA26111302,,,11/13/2025,3/15/2026 5:11:43 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Verification Review,01/13/2026,,,
user99,CAPA26111701,,,11/17/2025,3/19/2026 1:38:52 PM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,USA,,,,,,,,Laboratory Services,Quality Board Review,03/30/2026,,,
user85,CAPA26111901,DEV260648,,11/19/2025,3/21/2026 2:27:33 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,Other,A2557,260826-9190,,,,,生产支持组,Verification Review,01/19/2026,S2DCPNRFNZGWZDBIMZ,,Accepts the PA
user88,CAPA26112501,DEV260232,,11/25/2025,3/27/2026 9:59:13 PM,1.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Verification Review,08/31/2026,,,Accepts the PA
user10,CAPA26112701,DEV261142,,11/27/2025,3/29/2026 5:29:27 AM,0.0,Workflow Optimization Initiative,CAPA Forms Open,Yes,,China,Intermediate,A2271,260715-2785,,,,,原料检测组,Action Plan Review,07/08/2026,DZOP2ID5FVBTXIXBEX,,
user74,CAPA26113001,,,11/30/2025,4/1/2026 1:00:39 AM,1.0,质量体系提升行动,CAPA Forms Open,No,,,,,,,,,,工程管理组,Cause Analysis,04/30/2026,,,
user88,CAPA26120101,,,12/01/2025,4/2/2026 8:23:49 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Laboratory Services,Cause Analysis,03/12/2026,,,
user32,CAPA26120201,DEV260586,,12/02/2025,4/3/2026 6:54:20 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,原料检测组,Execution Tracking,01/14/2026,,,
user42,CAPA26120401,DEV260371,,12/04/2025,4/5/2026 1:57:41 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Production,Quality Board Review,02/02/2026,6JJRBYNUTJDFRASESB,,
user70,CAPA26120601,DEV260658,,12/06/2025,4/7/2026 6:32:26 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,Quality Systems,Execution Tracking,03/11/2026,GANHDR3HNRH2BMEVQ6,Accepts the CA,
user16,CAPA26120602,DEV260336,,12/06/2025,4/7/2026 8:18:19 AM,0.0,风险控制跟进行动,CAPA Forms Open,No,,China,,,,,,,,成品检测组,Cause Analysis,03/28/2026,77JBI3FWMJBPRJ72DY,,
user64,CAPA26120801,DEV260915,,12/08/2025,4/9/2026 7:46:28 AM,0.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,01/21/2026,RAUUSGFRYJAYZK6Z7S,,
user48,CAPA26121001,,,12/10/2025,4/11/2026 7:30:31 AM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Cause Analysis,09/22/2026,,,
user87,CAPA26121701,DEV260285,,12/17/2025,4/18/2026 12:54:19 AM,0.0,Training Effectiveness Review,CAPA Forms Open,Yes,,China,Intermediate,A6403,261215-9976,,,,,成品检测组,Execution Tracking,02/15/2026,SJMKPRQPDNG5BLBIMQ,Accepts the CA,
user65,CAPA26121901,DEV260551,,12/19/2025,4/20/2026 1:53:21 AM,0.0,质量体系提升行动,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Verification Review,04/04/2026,,Accepts the CA,Accepts the PA
user60,CAPA26121902,,,12/19/2025,4/20/2026 2:24:14 AM,0.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,生产支持组,Quality Board Review,02/17/2026,,,
user86,CAPA26121903,DEV260223,,12/19/2025,4/20/2026 2:55:06 AM,0.0,Process Documentation Review,CAPA Forms Open,Yes,,China,Intermediate,A6275,260720-7701,,,,,质量管理组,Verification Review,02/17/2026,,Accepts the CA,
user34,CAPA26122201,DEV260337,,12/22/2025,4/23/2026 5:10:26 AM,1.0,Training Effectiveness Review,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Cause Analysis,12/31/2026,,,
user88,CAPA26122301,DEV260418,,12/23/2025,4/24/2026 2:27:47 AM,0.0,Quality System Enhancement,CAPA Forms Open,Yes,,China,Commercial/Generic,A7158,261220-5223,,,,,生产支持组,Verification Review,03/26/2026,JGUVO5MHTBASBBVEJE,Accepts the CA,Accepts the PA
user25,CAPA26122401,DEV260468,,12/24/2025,4/25/2026 8:59:30 AM,0.0,文件记录审核改善,CAPA Forms Open,No,,China,,,,,,,,Laboratory Services,Quality Board Review,02/27/2026,VRQXYJYQMFF7BKCCUN,,
user34,CAPA26122601,,,12/26/2025,4/27/2026 6:04:38 AM,1.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Quality Board Review,08/14/2026,,,
user18,CAPA26122901,,,12/29/2025,4/30/2026 6:48:06 PM,1.0,Process Documentation Review,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Quality Board Review,09/30/2026,,,
user06,CAPA26123001,,,12/30/2025,5/1/2026 6:41:53 AM,0.0,设备维护优化计划,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Cause Analysis,09/22/2026,,,
user03,CAPA26123002,DEV261029,,12/30/2025,5/1/2026 6:59:01 AM,1.0,Quality System Enhancement,CAPA Forms Open,No,,China,,,,,,,,质量管理组,Execution Tracking,12/29/2028,MRYFOBQB5NCSJA64Q4,,
user46,CAPA26010401,DEV260508,,01/04/2026,5/6/2026 8:25:46 AM,0.0,生产流程改进项目,CAPA Forms Open,No,,China,,,,,,,,Infrastructure,Execution Tracking,05/19/2026,IMWTRDBL3BG37FJTM5,,
user78,CAPA26010901,,,01/09/2026,5/11/2026 9:58:50 AM,0.0,Equipment Lifecycle Assessment,CAPA Forms Open,No,,China,,,,,,,,工程管理组,Execution Tracking,03/30/2026,,Accepts the CA,Accepts the PA
user03,CAPA26011301,DEV261158,,01/13/2026,5/15/2026 8:26:05 PM,1.0,Workflow Optimization Initiative,CAPA Forms Open,No,,USA,,,,,,,,Inventory,Quality Board Review,09/11/2026,,,
