Deviation Number,Status,T2 Location or Site,Title,Create Date,Overall Due,Initiator,Step Name,Step Due,Extensions,Type,Department,Closure Date,Tracking Code,System Flag,Review Bucket
DEV260721,Deviation Forms Open,USA,Inventory Traceability Assessment,7/21/2026,8/20/2026,user74,Risk Evaluation,8/1/2026,0,Unplanned,Infrastructure,,TRK-2315,XF-66,C
DEV260722,Deviation Forms Open,USA,Quality Record Reconciliation,7/22/2026,8/21/2026,user58,Risk Evaluation,8/13/2026,0,Unplanned,Quality Systems,,TRK-8139,XF-93,C
DEV260724,Deviation Forms Open,China,质量体系改进行动,7/24/2026,8/23/2026,user70,Disposition Review,8/13/2026,3,Unplanned,Engineering,,TRK-8124,XF-78,B
DEV260724,Deviation Forms Open,USA,Inventory Traceability Assessment,7/24/2026,8/23/2026,user79,Disposition Review,8/16/2026,0,Unplanned,Laboratory Services,,TRK-4423,XF-82,A
DEV260728,Deviation Forms Open,USA,Documentation Review Required,7/28/2026,8/27/2026,user11,Investigation Review,8/14/2026,0,Unplanned,Laboratory Services,,TRK-9035,XF-91,C
DEV260728,Deviation Forms Open,USA,Inventory Traceability Assessment,7/28/2026,8/27/2026,user53,Disposition Review,8/17/2026,0,Unplanned,Inventory Control,,TRK-4743,XF-88,C
DEV260729,Deviation Forms Open,USA,Process Control Verification,7/29/2026,8/28/2026,user75,Technical Assessment,8/19/2026,0,Unplanned,Inventory Control,,TRK-1746,XF-89,B
DEV260729,Deviation Forms Open,USA,Process Control Verification,7/29/2026,8/28/2026,user05,Disposition Review,8/15/2026,0,Unplanned,Laboratory Services,,TRK-2921,XF-14,D
DEV260729,Deviation Forms Open,USA,Material Handling Review,7/29/2026,8/28/2026,user13,Disposition Review,8/19/2026,0,Unplanned,Quality Systems,,TRK-5573,XF-16,C
DEV260730,Deviation Forms Open,China,物料追溯核查,7/30/2026,8/29/2026,user93,Technical Assessment,8/19/2026,0,Unplanned,Production,,TRK-1760,XF-77,B
DEV260731,Deviation Forms Open,USA,Material Handling Review,7/31/2026,8/30/2026,user13,Risk Evaluation,8/20/2026,0,Unplanned,Production,,TRK-2824,XF-17,A
DEV260806,Deviation Forms Open,USA,Material Handling Review,8/6/2026,9/5/2026,user17,Quality Approval,8/24/2026,0,Unplanned,Inventory Control,,TRK-7557,XF-47,B
DEV260807,Deviation Forms Open,China,工艺流程优化评估,8/7/2026,9/6/2026,user35,Risk Evaluation,8/8/2026,0,,,,TRK-5198,XF-72,B
DEV260809,Deviation Forms Open,China,设备状态检查项目,8/9/2026,9/8/2026,user79,Quality Approval,8/31/2026,0,Unplanned,Production,,TRK-3800,XF-25,A
DEV260810,Deviation Forms Open,China,质量体系改进行动,8/10/2026,9/9/2026,user62,Impact Assessment,8/31/2026,0,Unplanned,Laboratory Services,,TRK-6925,XF-24,D
DEV260810,Deviation Forms Open,China,生产记录审核异常,8/10/2026,9/9/2026,user20,Technical Assessment,8/30/2026,0,Unplanned,Production,,TRK-9190,XF-28,A
DEV260811,Deviation Forms Open,China,物料追溯核查,8/11/2026,9/10/2026,user33,Impact Assessment,8/31/2026,0,Unplanned,Engineering,,TRK-9550,XF-92,B
DEV260811,Deviation Forms Open,China,工艺流程优化评估,8/11/2026,9/10/2026,user46,Quality Approval,9/1/2026,0,Unplanned,Engineering,,TRK-6417,XF-14,B
DEV260811,Deviation Forms Open,China,偏差调查跟进,8/11/2026,9/10/2026,user82,Disposition Review,9/1/2026,0,Unplanned,Infrastructure,,TRK-2493,XF-80,C
DEV260812,Deviation Forms Open,USA,Material Handling Review,8/12/2026,9/11/2026,user78,Impact Assessment,9/1/2026,0,Unplanned,Production,,TRK-9993,XF-40,C
DEV260812,Deviation Forms Open,USA,Material Handling Review,8/12/2026,9/11/2026,user18,Investigation Review,8/13/2026,0,,Infrastructure,,TRK-4150,XF-50,D
DEV260812,Deviation Forms Open,USA,Documentation Review Required,8/12/2026,9/11/2026,user03,Quality Approval,9/1/2026,0,Unplanned,Laboratory Services,,TRK-8709,XF-79,D
DEV260813,Deviation Forms Open,China,生产记录审核异常,8/13/2026,9/12/2026,user88,Disposition Review,9/2/2026,0,Unplanned,Production,,TRK-4660,XF-70,D
DEV260813,Deviation Forms Open,China,工艺流程优化评估,8/13/2026,9/12/2026,user54,Impact Assessment,9/5/2026,0,Unplanned,Laboratory Services,,TRK-1054,XF-34,B
DEV260813,Deviation Forms Open,USA,Material Handling Review,8/13/2026,9/12/2026,user50,Quality Approval,9/3/2026,0,Unplanned,Engineering,,TRK-3320,XF-14,C
DEV260814,Deviation Forms Open,USA,Inventory Traceability Assessment,8/14/2026,9/13/2026,user98,Investigation Review,9/3/2026,0,Unplanned,Production,,TRK-2963,XF-36,B
DEV260818,Deviation Forms Open,China,偏差调查跟进,8/18/2026,9/17/2026,user29,Technical Assessment,9/7/2026,0,Unplanned,,,TRK-4434,XF-67,A
DEV260818,Deviation Forms Open,USA,Process Control Verification,8/18/2026,9/17/2026,user36,Disposition Review,8/19/2026,0,Unplanned,Production,,TRK-8683,XF-74,A
